age_group,bare_skin_feel_30min,midday_shine,tight_flaky_frequency,pore_visibility,breakout_frequency,breakout_location,new_product_reaction,redness_frequency,post_cleanse_feel,seasonal_change,hormonal_stress_pattern,skin_type
2,3,3,2,3,2,3,2,3,3,4,1,normal
5,5,3,2,5,3,4,3,1,2,1,1,acne_prone
1,3,3,2,2,2,4,3,1,2,3,2,combination
3,4,3,2,3,2,2,2,2,2,1,3,combination
3,1,1,4,1,3,2,1,3,1,4,1,dry
1,1,1,3,1,1,1,1,1,2,1,1,dry
1,1,1,3,1,1,1,1,3,1,1,2,dry
2,3,3,3,2,3,4,4,3,4,1,3,sensitive
1,3,4,1,4,1,1,1,1,1,2,3,combination
2,2,4,3,4,3,2,1,2,2,1,1,combination
4,1,1,3,2,2,3,2,1,1,5,3,dry
5,5,5,2,4,3,3,1,1,2,2,2,acne_prone
5,1,3,4,1,3,3,4,4,3,2,2,sensitive
4,3,2,2,1,1,1,1,1,1,5,3,normal
3,3,2,2,3,1,1,3,1,1,2,3,normal
4,3,1,1,2,3,2,1,1,1,5,3,normal
1,3,2,2,2,2,3,2,2,1,4,1,normal
2,5,3,1,4,2,4,3,3,2,4,3,oily
2,5,3,1,4,2,4,1,1,1,2,4,oily
2,3,2,2,2,1,1,1,2,2,3,3,normal
5,2,3,3,4,3,4,1,3,1,4,3,combination
4,1,2,4,2,2,4,3,1,3,5,1,dry
2,3,1,2,1,3,3,2,2,2,1,2,normal
2,3,2,1,2,1,1,2,1,3,1,1,normal
1,4,4,1,4,2,2,3,3,2,3,1,oily
2,3,1,3,2,2,3,4,4,3,1,1,sensitive
2,2,1,1,1,2,3,2,2,1,4,1,normal
3,5,3,2,3,2,3,3,3,2,4,2,oily
4,2,4,2,4,2,4,1,1,1,2,1,combination
2,1,2,2,3,1,1,1,2,2,3,1,dry
1,3,3,2,3,1,1,1,1,1,1,3,combination
2,3,1,4,2,2,3,3,1,3,1,2,dry
4,2,2,4,1,1,1,2,3,1,5,2,dry
4,3,5,1,4,4,3,2,1,1,1,1,acne_prone
4,4,4,1,4,3,3,3,1,2,1,3,acne_prone
2,3,2,2,1,1,1,3,3,4,1,2,sensitive
3,4,2,1,2,2,4,2,1,3,4,2,normal
4,2,1,2,3,1,1,1,1,2,3,2,dry
5,3,3,1,2,3,4,1,3,2,1,2,combination
2,4,4,1,3,1,1,1,3,2,2,1,oily
4,1,1,4,1,2,4,3,2,2,1,3,dry
4,5,3,2,5,2,4,2,1,2,2,2,oily
